time;random
0:22.055367;1
0:22.088733;1
0:22.122100;1
0:22.155467;1
0:22.188833;1
0:22.222200;1
0:22.255567;1
0:22.288933;1
0:22.322300;1
0:22.355667;1
0:22.389033;1
0:22.422400;1
0:22.455767;1
0:22.489133;1
0:22.522500;1
0:22.555867;1
0:22.589233;1
0:22.622600;1
0:22.655967;1
0:22.689333;1
0:22.722700;1
0:22.756067;1
0:22.789433;1
0:22.822800;1
0:22.856167;1
0:22.889533;1
0:22.922900;1
0:22.956267;1
0:23.023000;1
0:23.056367;1
0:24.624600;1
0:24.657967;1
0:24.691333;1
0:24.724700;1
0:24.758067;1
0:24.791433;1
0:24.858167;1
0:24.924900;1
0:24.958267;1
0:25.091733;1
0:25.658967;1
0:25.692333;1
0:25.892533;1
0:25.925900;1
0:26.393033;1
0:26.459767;1
0:27.027000;1
0:27.227200;1
0:27.327300;1
0:27.394033;1
0:27.427400;1
0:27.494133;1
0:27.527500;1
0:27.594233;1
0:27.627600;1
0:27.660967;1
0:27.994633;1
0:28.028000;1
0:28.061367;1
0:28.128100;1
0:28.361667;1
0:28.461767;1
0:28.495133;1
0:28.595233;1
0:28.628600;1
0:28.661967;1
0:28.695333;1
0:28.762067;1
0:28.862167;1
0:28.928900;1
0:29.062367;1
0:29.129100;1
0:29.162467;1
0:29.696333;1
0:29.729700;1
0:29.763067;1
0:29.796433;1
0:29.829800;1
0:29.863167;1
0:29.896533;1
0:29.929900;1
0:29.963267;1
0:29.996633;1
0:30.030000;1
0:30.063367;1
0:30.096733;1
0:30.130100;1
0:30.163467;1
0:30.196833;1
0:30.230200;1
0:30.263567;1
0:30.296933;1
0:30.330300;1
0:30.363667;1
0:30.397033;1
0:30.430400;1
0:30.463767;1
0:30.497133;1
0:30.530500;1
0:30.563867;1
0:30.597233;1
0:30.630600;1
0:30.663967;1
0:30.697333;1
0:30.730700;1
0:30.764067;1
0:30.797433;1
0:30.830800;1
0:30.864167;1
0:30.897533;1
0:30.930900;1
0:30.964267;1
0:30.997633;1
0:31.031000;1
0:31.064367;1
0:31.097733;1
0:31.131100;1
0:31.164467;1
0:31.197833;1
0:31.231200;1
0:31.264567;1
0:31.297933;1
0:31.331300;1
0:31.364667;1
0:31.398033;1
0:31.431400;1
0:31.464767;1
0:31.498133;1
0:31.531500;1
0:31.564867;1
0:31.598233;1
0:31.631600;1
0:31.664967;1
0:31.698333;1
0:31.731700;1
0:31.765067;1
0:31.798433;1
0:31.831800;1
0:31.865167;1
0:31.898533;1
0:31.931900;1
0:31.965267;1
0:31.998633;1
0:32.032000;1
0:32.065367;1
0:32.098733;1
0:32.132100;1
0:32.165467;1
0:32.198833;1
0:32.232200;1
0:32.265567;1
0:32.298933;1
0:32.332300;1
0:32.365667;1
0:32.399033;1
0:32.432400;1
0:32.465767;1
0:32.499133;1
0:32.532500;1
0:32.565867;1
0:32.599233;1
0:32.632600;1
0:32.665967;1
0:32.699333;1
0:32.732700;1
0:32.766067;1
0:32.799433;1
0:32.832800;1
0:32.866167;1
0:32.899533;1
0:32.932900;1
